LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME_OF_PROD,VALUE_PROD,Flag Codes
IRL,OILPROD,TOT,KTOE,A,2016,0,
IRL,OILPROD,TOT,KTOE,A,2017,0,
ITA,OILPROD,TOT,KTOE,A,2000,4554.13,
ITA,OILPROD,TOT,KTOE,A,2001,4065.223,
ITA,OILPROD,TOT,KTOE,A,2002,5536.058,
ITA,OILPROD,TOT,KTOE,A,2003,5571.064,
ITA,OILPROD,TOT,KTOE,A,2004,5446.04,
ITA,OILPROD,TOT,KTOE,A,2005,6109.832,
ITA,OILPROD,TOT,KTOE,A,2006,5767.898,
ITA,OILPROD,TOT,KTOE,A,2007,5858.88,
ITA,OILPROD,TOT,KTOE,A,2008,5219.003,
ITA,OILPROD,TOT,KTOE,A,2009,4550.13,
ITA,OILPROD,TOT,KTOE,A,2010,5079.029,
ITA,OILPROD,TOT,KTOE,A,2011,5282.99,
ITA,OILPROD,TOT,KTOE,A,2012,5395.969,
ITA,OILPROD,TOT,KTOE,A,2013,5500.949,
ITA,OILPROD,TOT,KTOE,A,2014,5763.898,
ITA,OILPROD,TOT,KTOE,A,2015,5470,
ITA,OILPROD,TOT,KTOE,A,2016,3746,
ITA,OILPROD,TOT,KTOE,A,2017,4098,
JPN,OILPROD,TOT,KTOE,A,2000,334.729,
JPN,OILPROD,TOT,KTOE,A,2001,289.607,
JPN,OILPROD,TOT,KTOE,A,2002,255.359,
JPN,OILPROD,TOT,KTOE,A,2003,297.75,
JPN,OILPROD,TOT,KTOE,A,2004,296.359,
JPN,OILPROD,TOT,KTOE,A,2005,320.619,
JPN,OILPROD,TOT,KTOE,A,2006,284.168,
JPN,OILPROD,TOT,KTOE,A,2007,289.402,
JPN,OILPROD,TOT,KTOE,A,2008,294.642,
JPN,OILPROD,TOT,KTOE,A,2009,268.203,
JPN,OILPROD,TOT,KTOE,A,2010,253.147,
JPN,OILPROD,TOT,KTOE,A,2011,246.024,
JPN,OILPROD,TOT,KTOE,A,2012,242.786,
JPN,OILPROD,TOT,KTOE,A,2013,227.123,
JPN,OILPROD,TOT,KTOE,A,2014,225.284,
JPN,OILPROD,TOT,KTOE,A,2015,206.107,
JPN,OILPROD,TOT,KTOE,A,2016,188.059,
JPN,OILPROD,TOT,KTOE,A,2017,182.025,
KOR,OILPROD,TOT,KTOE,A,2000,0,
KOR,OILPROD,TOT,KTOE,A,2001,0,
KOR,OILPROD,TOT,KTOE,A,2002,0,
KOR,OILPROD,TOT,KTOE,A,2003,0,
KOR,OILPROD,TOT,KTOE,A,2004,0,
KOR,OILPROD,TOT,KTOE,A,2005,55.073,
KOR,OILPROD,TOT,KTOE,A,2006,45.894,
KOR,OILPROD,TOT,KTOE,A,2007,31.616,
KOR,OILPROD,TOT,KTOE,A,2008,21.417,
KOR,OILPROD,TOT,KTOE,A,2009,42.835,
